2,-3804,7102,2
7,-3802,7068,0
16,-3816,7116,-8
27,-3802,7092,-10
37,-3786,7126,-11
47,-3800,7036,1
57,-3794,7158,-3
67,-3806,7148,-7
77,-3828,7104,-9
87,-3820,7082,-21
97,-3776,7150,-6
107,-3854,7140,-1
117,-3804,7136,1
127,-3746,7132,22
137,-3834,7122,16
147,-3820,7182,14
157,-3822,7112,20
167,-3836,7114,17
177,-3852,7162,19
186,-3844,7184,9
197,-3818,7182,13
207,-3820,7132,13
216,-3802,7110,9
227,-3812,7176,34
237,-3892,7150,63
247,-3942,7376,134
257,-4278,7300,239
267,-4252,7020,207
276,-3626,7076,92
287,-3718,7242,91
297,-4024,7148,136
307,-3976,7288,65
317,-4304,7208,68
327,-4032,6866,-52
337,-3384,7104,-140
347,-3218,7248,-47
357,-3236,7080,135
367,-2762,7122,293
377,-2668,7192,582
387,-3124,7732,784
397,-4,8082,1530
407,-906,10238,1708
417,856,13048,989
427,1688,15302,663
437,1812,13380,-23
447,2798,12182,-485
457,3288,11202,-897
467,2938,10654,-1083
477,2676,10700,-1370
487,2432,10826,-1584
497,2178,10470,-1820
507,1936,9986,-1906
517,1408,9426,-1901
527,1042,9656,-1870
537,-326,10242,-1956
547,-1082,10602,-2207
557,-968,10366,-2512
567,-794,9298,-2589
577,-860,9088,-2581
587,-1526,9512,-2616
597,-1860,9918,-2804
607,-1646,9650,-2901
617,-1250,9236,-2917
627,-870,8770,-2841
637,-796,8620,-2645
647,-994,8870,-2513
657,-1492,9332,-2411
667,-1556,9452,-2431
677,-1358,9348,-2454
687,-1422,9170,-2461
697,-1690,9070,-2500
707,-2260,9356,-2588
717,-2430,9184,-2847
727,-1946,8410,-2990
738,-1394,7674,-2997
748,-1598,7530,-2923
758,-1882,7372,-2877
768,-1978,7218,-2865
777,-1872,6904,-2820
787,-2270,6972,-2795
798,-2362,7158,-2846
807,-2602,7304,-2937
817,-3240,7606,-3228
827,-3338,6636,-3534
837,-2862,5562,-3688
847,-3462,4724,-3638
857,-3850,4372,-3536
867,-4554,3476,-3306
876,-4990,2368,-2907
887,-5900,1382,-2541
897,-6726,1046,-2042
906,-7068,-338,-1583
916,-7338,-932,-947
927,-8326,-1476,206
937,-9426,-1282,1275
947,-10966,-1272,1983
956,-11664,-716,2992
968,-12752,68,3566
978,-12162,-190,4582
987,-10966,476,5491
998,12538,16240,7631
1007,32767,32767,5685
1017,18014,-14616,8730
1027,-11800,2982,11789
1036,-7302,17206,12099
1047,-3676,5030,12640
1057,-11142,17306,12372
1067,-12862,27418,11490
1077,-32768,12424,8804
1087,-9106,16056,1447
1097,-1228,7008,952
1107,-8824,6706,1142
1116,-4706,10198,852
1128,-4902,5884,448
1138,-4756,8074,-145
1148,-4380,8156,-110
1156,-3210,6796,-70
1167,-3060,7594,142
1176,-3982,7496,323
1187,-3556,7134,327
1197,-3064,7470,438
1206,-2294,7090,667
1216,-4306,8918,1174
1227,-3596,5218,683
1236,-3684,6642,733
1247,-3838,7092,802
1256,-3454,7302,720
1267,-3618,7166,886
1276,-3976,7200,1021
1287,-4126,7002,1000
1296,-3954,7056,1031
1307,-4302,7128,1099
1317,-4456,7108,1245
1327,-4262,6788,1230
1337,-3578,6436,1261
1347,-3688,7094,1399
1357,-4394,2194,2031
1367,-3976,7042,1857
1377,-4392,5692,1497
1387,-4112,6984,1546
1397,-4300,7002,1686
1407,-4622,6226,1791
1417,-4674,6552,1679
1426,-4460,7028,1807
1437,-5786,5230,2276
1446,-5854,6008,1861
1457,-4502,6280,1659
1466,-4784,6346,1788
1477,-5486,5764,1719
1486,-5062,5506,1227
1497,-4440,6716,2257
1507,-6188,5366,2946
1517,-4628,7514,3203
1526,-4272,7856,4074
1537,-5132,6856,4749
1547,-6982,6320,5273
1557,-6660,6120,6000
1566,-4804,7902,6586
1577,-5692,7832,7650
1587,-4870,6032,8281
1597,-6718,7728,9270
1607,-4034,8702,11067
1617,-8948,8518,12407
1627,-3146,5166,15296
1637,-9072,6144,16955
1647,-14290,7808,16540
1657,-14848,9802,15820
1666,-18566,15466,14973
1677,-17280,10612,12988
1686,-16670,14408,10222
1696,-10284,12014,7216
1707,-3194,31324,3072
1716,-15932,32382,-547
1727,-5108,24946,-3453
1738,2508,13722,-6588
1747,3028,10832,-6834
1756,312,8108,-6961
1767,382,7992,-7229
1776,-984,8380,-7957
1786,-2158,7964,-8433
1797,-3140,7424,-8987
1806,-3516,7150,-9374
1817,-3440,6058,-9744
1826,-3860,6396,-10016
1837,-3636,5904,-9668
1847,-3996,4238,-9602
1857,-5524,6236,-9418
1867,-7102,7062,-9503
1876,-7568,7632,-9844
1887,-8130,7592,-9982
1897,-8624,7248,-10149
1907,-8890,7372,-10188
1917,-9922,7050,-9964
1927,-9212,8444,-9865
1936,-10502,8430,-9879
1947,-10506,9320,-9946
1957,-10502,9400,-9868
1967,-10504,9198,-9731
1976,-10306,9120,-9358
1987,-10268,9074,-9024
1997,-10418,9326,-8478
2006,-11864,10606,-8232
2017,-13016,11872,-8204
2026,-13748,13594,-8460
2037,-14768,13920,-8992
2047,-14018,12320,-9395
2056,-13742,9380,-9619
2067,-13236,5046,-9273
2077,-14832,3570,-8379
2087,-17910,636,-7978
2096,-18480,-3564,-7646
2106,-18706,-10624,-6195
2116,-18686,-13166,-4506
2127,-18608,-13352,-1406
2136,-17918,-11026,705
2146,-19840,-6340,2949
2156,-17966,-2844,3759
2167,-15208,-1992,4582
2176,-13214,-940,5301
2187,-12638,1294,6570
2197,12232,10404,7615
2207,6560,10276,8555
2217,15100,-7434,12915
2227,-16948,13618,15502
2237,-21746,32226,13339
2247,-26626,32767,10258
2257,-32768,10060,6750
2267,-246,18036,5230
2277,-650,5808,2487
2286,-10254,8368,2494
2297,-6588,7498,914
2306,-5914,7048,293
2317,-5188,8082,-141
2327,-4188,7352,-228
2336,-3494,7126,-216
2347,-3908,7640,-156
2357,-3826,7504,-177
2368,-3086,7460,-40
2378,-4390,7332,68
2388,-2584,7410,97
2398,-3210,7632,523
2408,-3590,7534,594
2418,-3638,7592,667
2427,-3468,7190,738
2436,-3698,7232,702
2447,-3736,7166,546
2457,-3366,7586,424
2467,-3518,7042,428
2476,-3518,7258,468
2487,-3664,7316,543
2497,-3884,7002,549
2507,-3952,7262,600
2517,-3992,7598,560
2527,-3920,7158,600
2537,-4362,6090,759
2547,-3528,7624,777
2557,-5434,856,1821
2567,-3464,8508,652
2577,-3744,6582,1569
2587,-4274,8740,1290
2597,-4564,1144,1973
2607,-3320,15988,506
2617,-684,12562,-195
2628,-2678,11250,1485
2638,-3552,6884,1711
2648,-3744,11598,2261
2658,-4124,5668,2381
2667,-5526,7144,2669
2677,-4946,7368,3166
2687,-4978,6050,3838
2696,-4654,5928,4358
2707,-5000,6054,4660
2717,-4650,9412,4698
2727,-5120,8342,6123
2737,-3816,8562,6968
2747,-6618,7510,8250
2756,-6196,10392,8974
2767,-3874,4494,9548
2777,-7876,8046,11556
2786,-2408,7198,12873
2796,-3968,7062,15732
2806,-5130,5940,16741
2816,-10074,9812,18154
2827,-16314,8198,17641
2837,-14964,12012,15862
2847,-15682,13572,14225
2856,-7034,25124,12445
2867,-7378,14302,9628
2877,-4116,27268,7162
2887,-32768,21436,4383
2897,-1702,32767,177
2908,-3840,21344,-3446
2918,170,13994,-5671
2928,672,11824,-6408
2938,1048,8764,-6905
2947,338,6248,-6893
2957,-770,8442,-8062
2967,-1938,8564,-8541
2976,-3334,8732,-9458
2987,-4938,9962,-10207
2996,-966,8804,-10872
3007,-6122,5118,-10911
3017,-5344,5986,-11156
3027,-6290,6376,-11201
3037,-7654,5842,-11240
3047,-7372,6672,-11183
3057,-8780,7100,-10960
3067,-9450,8154,-10890
3076,-10682,8756,-10994
3087,-11086,9264,-11088
3097,-11476,9738,-11121
3107,-11816,8784,-11097
3117,-11604,9590,-10889
3127,-11996,10160,-10725
3136,-12250,10260,-10670
3147,-11938,9936,-10541
3157,-11824,9686,-10193
3167,-11774,9554,-9869
3177,-12220,10468,-9382
3187,-14268,13068,-9245
3197,-15406,13224,-9510
3207,-16292,12998,-9798
3217,-16552,10824,-9925
3227,-16490,6134,-9754
3236,-17690,3278,-9308
3247,-20874,-994,-8400
3257,-21978,-5372,-7358
3267,-22504,-11934,-6230
3277,-21918,-14426,-4597
3287,-20108,-14710,-1434
3297,-19706,-9738,1348
3308,-19074,-3966,2462
3318,-17096,-1280,3151
3328,-15114,1838,3542
3337,-13236,3694,3690
3347,-9536,3880,4095
3357,9550,7646,4616
3367,15666,15212,5679
3377,25756,-9704,9846
3387,-9072,15582,12971
3396,-25528,27616,13023
3407,-8092,17626,12773
3417,-16466,8898,12442
3427,-14546,12576,10315
3437,-27820,19038,8720
3446,-12652,8994,5348
3457,-12350,6590,3581
3467,-6514,8514,2651
3476,-8576,9072,1188
3487,-6054,7776,249
3497,-5360,6394,379
3507,-3968,7510,24
3516,-3456,7916,-2
3527,-4654,7582,242
3537,-4168,7576,295
3548,-3728,7454,500
3557,-3750,7624,597
3567,-2572,7828,584
3577,-4806,8310,971
3587,-3178,6102,1034
3597,-3788,7562,943
3607,-3982,6124,1043
3617,-4260,6960,968
3627,-4344,6684,812
3637,-4064,6690,752
3647,-3826,6432,640
3657,-4544,6356,620
3667,-4242,6592,565
3676,-4298,6014,736
3687,-4380,6694,599
3696,-3362,9242,502
3707,-3250,7302,504
3717,-4122,5550,714
3727,-3586,5774,515
3737,-3594,5510,645
3748,-3934,6114,582
3757,-3344,5084,737
3768,-4268,6194,764
3777,-3672,6374,714
3787,-4568,5228,1067
3797,-4830,8072,854
3807,-4454,8320,968
3817,-4230,7588,1303
3826,-4790,6620,1564
3836,-4650,6862,1650
3847,-4450,7740,1778
3857,-3532,8454,2484
3867,-4684,6630,2977
3877,-3886,7040,3641
3887,-4732,7076,4403
3897,-5234,8006,5028
3907,-6696,6488,5805
3917,-4046,7300,6663
3927,-5762,8396,7922
3937,-4178,7096,8869
3947,50,8262,10241
3957,-3302,7072,12020
3967,-4642,6138,13273
3977,-6664,12382,15617
3987,-9252,7514,16841
3996,-17756,14326,17854
4007,-14696,14684,16954
4017,-15042,11062,14232
4027,-16900,12632,12554
4037,-4640,15092,9538
4047,-4852,21118,7010
4057,-24268,29274,3391
4067,-9526,32767,-465
4077,-740,22618,-4581
4087,1926,17534,-6457
4097,3806,13036,-7468
4107,-284,8438,-7238
4117,-1860,10472,-8308
4127,-3544,10788,-9206
4137,-4414,9032,-10533
4147,-3912,7456,-11091
4157,-3598,5322,-11314
4167,-3996,4436,-11052
4177,-5778,4684,-10762
4187,-6378,5664,-10786
4196,-7478,5632,-10625
4207,-7784,6420,-10604
4218,-8542,7086,-10466
4227,-8834,7142,-10350
4237,-9174,7432,-10219
4246,-10488,8310,-10088
4256,-10274,8306,-9976
4267,-9902,8728,-9869
4277,-9550,8686,-9635
4287,-9582,9306,-9242
4297,-10358,9910,-8976
4307,-11070,10746,-8753
4317,-11594,11678,-8560
4326,-13222,12608,-8571
4337,-14606,13772,-8852
4347,-16256,12982,-9214
4357,-15822,11352,-9554
4367,-15640,8160,-9460
4376,-15684,6582,-8873
4386,-16618,4500,-8407
4398,-17576,2716,-7705
4407,-20718,-1896,-7297
4417,-21908,-7114,-6752
4427,-23424,-12886,-5094
4436,-22980,-15296,-3479
4447,-19896,-13988,-350
4457,-18440,-9980,1664
4467,-18652,-2810,3366
4477,-17302,372,3782
4487,-16620,4356,3871
4497,-15872,3410,3639
4507,-10192,4596,4057
4516,32767,21230,4424
4527,9514,-2522,7936
4538,21134,-11766,10532
4548,-14054,20162,14761
4556,-23192,23734,15155
4566,-23392,4652,13855
4577,-32768,21040,12127
4587,-19982,19294,5019
4596,-4956,12608,3237
4607,-14352,3942,4026
4617,-6372,10424,1291
4627,-5812,8164,501
4637,-5124,8170,532
4647,-4320,7330,268
4657,-3568,6492,104
4667,-3776,7706,162
4677,-3312,7466,387
4687,-3242,6290,593
4696,-3478,7418,600
4707,-4536,7690,787
4717,-4330,6118,901
4728,-3988,7196,1067
4738,-2876,7428,1078
4747,-4158,7752,1112
4757,-3678,7106,1057
4768,-4168,6924,1151
4777,-4134,6856,1144
4787,-4034,6812,1127
4797,-3482,6918,1168
4807,-4196,7000,1219
4817,-4642,6878,1204
4827,-4326,6608,1179
4837,-3876,6012,1175
4847,-3972,6182,1148
4857,-4066,6214,1205
4867,-4034,5954,1206
4877,-4580,6346,1169
4887,-4194,6260,1117
4897,-3696,5754,1161
4907,-4622,5296,1167
4917,-4538,6346,902
4927,-5580,6542,949
4937,-4598,6914,669
4947,-3706,5298,1320
4957,-4828,7200,1384
4967,-4996,6318,1333
4976,-4574,6924,1389
4986,-4626,6572,1647
4996,-4384,6532,2089
5007,-4760,6588,2249
5016,-4192,7332,2693
5027,-6342,6928,3217
5037,-4966,6548,4215
5047,-5290,9106,4172
5057,-5482,6964,5034
5067,-4542,7618,5925
5077,-5992,7792,7321
5087,-8178,6466,8034
5097,-7050,5288,9126
5107,-1222,9812,10466
5117,-4322,7300,12015
5127,-5396,7338,13759
5137,-9118,8550,15361
5147,-11520,9554,16530
5157,-17172,7484,16571
5167,-17582,16390,15739
5177,-12862,12522,14468
5187,-17434,14676,10669
5197,-13794,17874,9004
5207,-3952,18146,6684
5217,-32768,26000,3499
5226,-10270,32767,76
5236,-1954,20212,-4892
5247,2604,14830,-6601
5256,2224,8766,-6831
5267,1604,7474,-6847
5278,-110,7688,-7209
5288,-966,7756,-7845
5297,-1526,7004,-8210
5306,-1626,6234,-8512
5316,-2476,6030,-8833
5327,-3860,5506,-8989
5337,-5180,5028,-9505
5347,-5110,6560,-9834
5357,-5426,5898,-10081
5367,-5798,5668,-10200
5377,-7278,6088,-10166
5387,-7842,6698,-10214
5397,-8308,6928,-10329
5407,-8196,7884,-10316
5417,-9570,7870,-10193
5427,-10078,7522,-10161
5437,-10544,9180,-9957
5447,-11378,10170,-9807
5457,-11806,11096,-9715
5468,-13082,12026,-9756
5476,-13642,12762,-9855
5487,-15162,13214,-9978
5497,-16026,13144,-10211
5506,-16900,12510,-10358
5516,-17312,11578,-10456
5527,-17548,9804,-10336
5537,-17628,8316,-9971
5547,-18028,5940,-9652
5557,-17484,3844,-9103
5567,-17806,1376,-8559
5577,-22248,-1852,-8178
5587,-24818,-11550,-7811
5597,-23178,-16592,-6607
5607,-20418,-17002,-3146
5616,-17974,-15060,-655
5626,-16154,-9540,2179
5637,-15406,-5592,3869
5646,-15448,-24,4515
5656,-15312,1952,4664
5667,-16128,4470,4347
5677,31290,29256,3861
5687,-2670,60,7408
5697,18062,-4206,8736
5707,-6316,16766,14030
5717,-30610,26236,13286
5727,-20696,32767,10692
5737,-23422,4248,7430
5747,-10014,10790,4301
5757,-5786,9730,4368
5766,-13212,6902,2719
5777,-6364,9492,1679
5787,-7360,7870,942
5797,-6668,8496,478
5807,-5570,7370,488
5817,-4432,6816,378
5828,-3704,6976,343
5838,-3996,7610,175
5847,-3742,7432,96
5858,-4150,7462,212
5867,-3756,7368,269
5877,-3934,7194,339
5887,-4006,7042,434
5897,-3534,7486,397
5907,-4060,6986,491
5917,-3360,7106,566
5927,-3226,8076,723
5936,-3494,7050,828
5947,-4258,6838,866
5956,-4094,6726,779
5967,-3844,6898,733
5977,-4052,7190,760
5987,-4360,6922,693
5997,-4380,7032,641
6007,-4246,6864,553
6017,-4052,6520,516
6027,-3912,6596,512
6037,-3932,6640,562
6047,-4044,6520,562
6057,-3896,6476,552
6067,-3950,6646,609
6077,-4392,4498,651
6087,-3506,6934,592
6096,-5652,6738,589
6107,-5568,7992,413
6117,-4002,7358,432
6127,-4258,8572,616
6137,-3886,6492,546
6147,-4000,5816,953
6156,-4492,7768,1114
6168,-4154,6906,1307
6177,-3954,6774,1406
6187,-3576,6124,1734
6196,-4152,6952,1885
6207,-4146,6262,2098
6216,-3752,6596,2799
6227,-4900,7090,3400
6237,-4758,7650,3864
6247,-3082,5946,4890
6257,-6100,6108,5578
6267,-5154,6264,6216
6277,-5454,7392,7273
6287,-7776,7932,8307
6296,-2668,10290,9326
6307,-5588,7842,11030
6317,-7728,9714,12236
6327,-6510,10166,14430
6337,-8146,8920,15658
6347,-13132,10050,16199
6357,-16026,12408,15901
6367,-16650,13526,15184
6377,-12622,12670,12465
6386,-10206,11454,11226
6396,-4600,16696,7878
6407,-4616,32767,4120
6417,-28848,18958,1535
6427,-2908,25992,-1967
6437,2762,14906,-5090
6447,3004,11056,-5834
6457,1346,8304,-6448
6466,-100,8146,-6960
6476,-1452,8998,-8144
6487,-1924,8206,-8997
6496,-1714,7238,-9914
6507,-2244,4946,-10040
6516,-2568,5950,-10228
6527,-3250,4348,-10380
6537,-4138,7094,-10400
6546,-5822,7146,-10414
6557,-6356,7542,-10679
6567,-6154,6606,-10616
6577,-6248,6052,-9987
6587,-8144,6944,-9452
6597,-9346,8336,-8818
6607,-10774,10118,-8611
6616,-11902,9906,-8392
6627,-10988,10630,-8080
6636,-12430,9868,-7571
6646,-13658,10158,-7416
6657,-13898,10048,-7392
6667,-13510,8508,-7180
6677,-12862,7704,-6726
6687,-12644,7222,-6358
6697,-12914,7700,-6020
6707,-12950,7834,-5982
6716,-12660,7378,-6062
6727,-12244,6846,-6086
6737,-12048,6542,-6182
6747,-11778,6114,-6244
6758,-11640,5438,-6288
6767,-10792,3954,-6235
6777,-10604,2660,-5936
6787,-10250,-278,-5548
6796,-10486,-2602,-4673
6807,-11476,-5390,-3897
6817,-12064,-6404,-3044
6826,-13146,-5250,-1758
6837,-12778,-3942,-1090
6846,-10888,-2610,-199
6857,-10192,-2270,788
6866,-10210,-678,1440
6877,-10790,680,2085
6887,-11598,2550,2266
6897,-12792,4356,2052
6907,-10474,4386,1785
6917,-8706,2818,2124
6927,31226,7302,4031
6937,17216,13792,7558
6947,21802,-9886,10621
6957,-1920,5684,14656
6966,-4456,13132,16292
6978,-6262,6672,17303
6988,-32768,32767,15839
6998,-32768,16320,9811
7007,-7298,10362,5765
7018,-9820,16858,1962
7027,-32768,-1946,809
7038,-1546,7050,544
7048,-5390,8060,442
7058,-6240,5822,174
7068,-4486,7252,-50
7078,-4804,6940,-147
7088,-4244,6876,-295
7096,-3916,6974,-251
7106,-4070,6708,-133
7117,-3666,6780,-4
7126,-3882,6892,114
7137,-4284,7112,221
7146,-4394,7082,290
7157,-4502,5882,261
7167,-4676,3540,632
7177,-3190,8546,581
7187,-4078,7292,454
7197,-4152,6602,348
7207,-4154,6770,210
7217,-3936,6964,159
7227,-4404,6868,96
7237,-4456,6882,64
7247,-4360,6664,126
7257,-4292,6830,133
7267,-4104,6916,171
7277,-4184,6914,199
7287,-4154,6910,207
7298,-4306,6852,171
7307,-4546,6814,145
7317,-4758,7896,87
7327,-4324,6526,6
7337,-4180,6696,14
7347,-4218,6970,48
7357,-4296,6934,112
7367,-4352,6770,169
7376,-4142,6900,135
7387,-4228,6922,200
7397,-4236,6874,259
7407,-4380,6786,317
7417,-4426,6832,322
7427,-4428,6734,282
7437,-4408,6678,219
7447,-4500,6814,180
7456,-4422,6756,177
7467,-4574,6726,141
7477,-4570,6536,71
7487,-4382,6754,-30
7497,-4528,6690,-76
7507,-4316,6834,-108
7517,-4390,6718,-91
7527,-4430,6824,-99
7537,-4316,6596,-157
7547,-4460,6708,-61
7557,-4242,6872,-8
7567,-4372,6820,63
7577,-4340,6836,79
7587,-4368,6760,58
7597,-4062,6884,7
7607,-4228,6822,64
7618,-4290,6808,67
7628,-4214,6882,80
7638,-4298,6750,105
7648,-4134,6812,94
7657,-4174,6982,145
7666,-4238,6860,210
7677,-4330,6832,300
7687,-4382,6766,343
7696,-4444,6660,340
7707,-4424,6760,326
7716,-4378,6782,321
7727,-4446,6804,332
7736,-4432,6718,346
7747,-4454,6748,325
7756,-4454,6656,309
7767,-4328,6732,360
7777,-4432,6748,400
7787,-4424,6694,466
7797,-4540,6696,497
7807,-4532,6630,542
7817,-4584,6670,561
7827,-4624,6610,564
7837,-4676,6564,545
7847,-4720,6466,504
7857,-4754,6460,425
7868,-4712,6432,308
7878,-4788,6536,269
7888,-4682,6500,229
7897,-4744,6134,178
7907,-4604,6552,91
7917,-4784,6488,65
7927,-4756,6356,26
7937,-4714,6432,-62
7947,-4744,6494,-93
7957,-4692,6512,-127
7967,-4706,6510,-154
7977,-4724,6478,-185
7987,-4590,6606,-206
7997,-4598,6664,-206
8007,-4578,6670,-187
8017,-4580,6654,-160
8026,-4562,6616,-145
8037,-4572,6664,-116
8047,-4520,6702,-96
8057,-4518,6722,-31
8067,-4560,6640,-15
8077,-4564,6596,39
8086,-4546,6578,61
8097,-4500,6556,116
8106,-4550,6592,155
8117,-4584,6600,190
8127,-4624,6578,194
8138,-4666,6466,187
8147,-4706,6494,150
8158,-4784,6466,104
8167,-4740,6596,84
8177,-4720,6510,37
8187,-4624,6706,9
8197,-4648,6550,-16
8206,-4688,6456,-42
8217,-4614,6564,-76
8227,-4694,6552,-93
8237,-4520,6882,-72
8247,-4680,6238,-149
8257,-4548,6554,-105
8267,-4630,6628,-96
8277,-4604,6584,-96
8287,-4538,6572,-95
8297,-4540,6664,-73
8307,-4670,6480,27
8317,-4550,6542,20
8327,-4612,6538,61
8337,-4578,6590,80
8347,-4558,6708,111
8356,-4578,6662,131
8367,-4652,6512,171
8377,-4680,6556,170
8387,-4670,6526,183
8397,-4692,6492,176
8407,-4700,6556,142
8417,-4676,6496,123
8427,-4668,6530,120
8437,-4682,6606,95
8447,-4652,6584,91
8457,-4654,6528,81
8468,-4642,6560,80
8478,-4634,6584,79
8488,-4704,6524,89
8497,-5018,6218,103
8507,-4688,6594,125
8516,-4696,6566,100
8527,-4738,6552,90
8537,-4710,6466,66
8547,-4662,6598,60
8557,-4674,6548,60
8567,-4648,6600,85
8577,-4666,6570,118
8587,-4724,6458,140
8597,-4738,6494,140
8607,-4680,6496,129
8617,-4642,6608,141
8627,-4704,6460,172
8637,-4680,6538,177
8647,-4796,6592,204
8657,-4740,6492,189
8667,-4698,6482,196
8677,-4742,6542,195
8687,-4740,6556,208
8696,-4796,6484,206
8707,-4834,6430,190
8717,-4860,6450,167
8727,-4792,6418,130
8736,-4768,6440,130
8747,-4738,6418,116
8757,-4802,6454,114
8767,-4820,6346,104
8777,-4812,6418,80
8788,-4842,6480,57
8798,-4804,6450,28
8808,-4822,6494,34
8818,-4796,6476,31
8827,-4798,6474,34
8838,-4840,6392,11
8848,-4800,6458,-5
8858,-4812,6408,-15
8868,-4838,6452,-16
8878,-4816,6450,-14
8888,-4768,6410,-13
8897,-4810,6394,3
8907,-4792,6430,27
8917,-4822,6466,43
8928,-4786,6478,50
8937,-4820,6418,66
8947,-4876,6362,55
8957,-4728,6410,61
8967,-4812,6532,69
8977,-4818,6442,76
8987,-4814,6426,70
8997,-4816,6454,73
9006,-4746,6488,73
9017,-4836,6392,84
9027,-4828,6464,86
9037,-4884,6368,80
9047,-4864,6376,68
9057,-4840,6364,52
9067,-4810,6444,29
9077,-4858,6418,23
9087,-4834,6406,20
9097,-4828,6280,3
9107,-4768,6714,-6
9117,-4848,6398,-11
9127,-4812,6438,1
9137,-4790,6448,8
9147,-4848,6454,10
9157,-4862,6438,29
9167,-4922,6410,17
9177,-4850,6416,-3
9187,-4822,6516,-11
9197,-4838,6362,0
9207,-4834,6454,-15
9216,-4844,6410,-7
9227,-4886,6402,-7
9236,-4842,6348,-29
9246,-4840,6456,-37
9256,-4856,6408,-49
9267,-4840,6466,-52
9277,-4850,6432,-48
9286,-4818,6460,-59
9296,-4778,6396,-88
9307,-4786,6410,-76
9317,-4830,6448,-80
9326,-4764,6512,-81
9336,-4790,6446,-57
9347,-4770,6466,-33
9357,-4768,6452,-25
9367,-4798,6476,-14
9376,-4830,6458,-12
9387,-4782,6406,-23
